scenario_id,planner_id,trials,success_rate,collision_rate,timeout_rate,avg_path_length,avg_planning_time_ms,avg_replans,avg_episode_steps,avg_dynamic_blocks,avg_interdiction_hit_rate,avg_guardrail_activation_rate,avg_building_violation_count,avg_nfz_violation_count,avg_risk_exposure_integral,avg_path_optimality,avg_path_smoothness,deterministic,seed_base,oracle_planner
gov_critical_infrastructure_hard,theta_star,1,0.0,1.0,0.0,,24.27,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,True,0,oracle
gov_critical_infrastructure_medium,aggressive_replan,1,0.0,0.0,1.0,,74.98,1949.0,2000.0,186.0,1.0,0.158,0.0,0.0,263.14998,22.8571,0.4848,True,0,oracle
gov_critical_infrastructure_medium,astar,3,0.0,1.0,0.0,,74.6233,288.7,527.0,0.0,1.0,0.4858,0.0,0.0,4.5e-05,12.1101,0.4367,True,0,oracle
gov_critical_infrastructure_medium,grid_mppi,1,0.0,1.0,0.0,,130.95,105.0,141.0,0.0,1.0,0.695,0.0,0.0,3.1e-05,61.5385,0.8182,True,0,oracle
gov_critical_infrastructure_medium,incremental_dstar_lite,1,0.0,0.0,1.0,,510.24,1849.0,2000.0,0.0,1.0,0.149,0.0,0.0,0.0,17.3913,0.4773,True,0,oracle
gov_critical_infrastructure_medium,periodic_replan,3,0.0,0.6667,0.3333,,74.2967,875.7,1112.0,0.0,1.0,0.6036,0.0,0.0,2e-06,7.2769,0.4384,True,0,oracle
gov_critical_infrastructure_medium,theta_star,1,0.0,0.0,1.0,,24.04,1001.0,2000.0,0.0,1.0,0.4095,0.0,0.0,5e-06,1.9512,0.3039,True,0,oracle
gov_maritime_domain_hard,aggressive_replan,1,0.0,0.0,1.0,,53.76,1728.0,2000.0,1636.0,1.0,0.805,0.0,0.0,0.0,3.9118,0.63,True,0,oracle
gov_maritime_domain_hard,astar,3,0.0,0.0,1.0,,52.48,1861.7,2000.0,1760.3,1.0,0.0622,0.0,0.0,0.003397,4.8172,0.531,True,0,oracle
gov_maritime_domain_hard,grid_mppi,1,0.0,0.0,1.0,,106.04,1786.0,2000.0,1712.0,1.0,0.009,0.0,0.0,0.0,4.2903,0.8571,True,0,oracle
gov_maritime_domain_hard,incremental_dstar_lite,1,0.0,0.0,1.0,,108.17,1087.0,2000.0,720.0,1.0,0.3325,0.0,0.0,0.028524,3.3529,0.3162,True,0,oracle
gov_maritime_domain_hard,periodic_replan,1,0.0,1.0,0.0,,52.43,268.0,704.0,253.0,1.0,0.0341,0.0,0.0,0.205063,2.2931,0.686,True,0,oracle
gov_maritime_domain_hard,theta_star,1,0.0,0.0,1.0,,1305.3,122.0,2000.0,1395.0,1.0,0.0045,0.0,0.0,0.0,2.2291,0.9209,True,0,oracle
gov_maritime_domain_medium,aggressive_replan,1,0.0,1.0,0.0,,51.92,80.0,243.0,0.0,1.0,0.0494,0.0,0.0,2.4e-05,6.1385,0.5556,True,0,oracle
gov_maritime_domain_medium,astar,1,0.0,0.0,1.0,,52.42,1872.0,2000.0,1815.0,1.0,0.0,0.0,0.0,0.0,1.7973,0.8773,True,0,oracle
gov_maritime_domain_medium,grid_mppi,1,0.0,0.0,1.0,,105.63,1898.0,2000.0,1855.0,1.0,0.0035,0.0,0.0,0.0,2.1923,0.8944,True,0,oracle
gov_maritime_domain_medium,incremental_dstar_lite,1,0.0,1.0,0.0,,107.04,143.0,478.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4329,0.537,True,0,oracle
gov_maritime_domain_medium,periodic_replan,1,0.0,1.0,0.0,,53.03,141.0,361.0,0.0,1.0,0.1662,0.0,0.0,0.0,4.0303,0.5155,True,0,oracle
gov_maritime_domain_medium,theta_star,1,0.0,0.0,1.0,,1317.42,,2000.0,1869.0,1.0,0.0,0.0,0.0,0.016515,3.0227,0.9923,True,0,oracle
