scenario_id,planner_id,seed,fog_condition,success,path_length,executed_steps,replans,computation_time_ms
osm_piraeus_flood_rescue_medium,apf,1,fog_off,True,822,1733,117,185958.62
osm_piraeus_flood_rescue_medium,apf,4,fog_off,False,816,2001,29,208399.39
osm_piraeus_flood_rescue_medium,apf,6,fog_off,False,596,2001,181,200339.61
osm_piraeus_flood_rescue_medium,astar,1,fog_on,False,486,2001,0,149466.16
osm_piraeus_flood_rescue_medium,astar,0,fog_on,False,171,2001,0,155007.9
osm_piraeus_flood_rescue_medium,astar,3,fog_on,False,144,2001,0,149691.25
osm_piraeus_flood_rescue_medium,astar,2,fog_on,False,447,2001,0,166126.44
osm_piraeus_flood_rescue_medium,astar,4,fog_on,False,586,2001,0,145120.5
osm_piraeus_flood_rescue_medium,astar,5,fog_on,False,315,2001,0,149161.32
osm_piraeus_flood_rescue_medium,periodic_replan,0,fog_on,True,171,695,25,53723.06
osm_piraeus_flood_rescue_medium,astar,6,fog_on,False,596,2001,0,140455.99
osm_piraeus_flood_rescue_medium,astar,7,fog_on,False,590,2001,0,146200.9
osm_piraeus_flood_rescue_medium,periodic_replan,3,fog_on,True,144,192,19,15687.43
osm_piraeus_flood_rescue_medium,periodic_replan,1,fog_on,True,486,660,73,55247.25
osm_piraeus_flood_rescue_medium,astar,8,fog_on,False,238,2001,0,142166.75
osm_piraeus_flood_rescue_medium,astar,9,fog_on,False,245,2001,0,139332.6
osm_piraeus_flood_rescue_medium,periodic_replan,5,fog_on,True,315,374,38,30233.56
osm_piraeus_flood_rescue_medium,periodic_replan,8,fog_on,True,238,336,34,27586.89
osm_piraeus_flood_rescue_medium,periodic_replan,9,fog_on,True,245,279,28,22330.06
osm_piraeus_flood_rescue_medium,periodic_replan,4,fog_on,True,586,749,85,64957.35
osm_piraeus_flood_rescue_medium,periodic_replan,6,fog_on,True,596,834,75,74310.37
osm_piraeus_flood_rescue_medium,aggressive_replan,3,fog_on,True,144,183,39,15184.21
osm_piraeus_flood_rescue_medium,aggressive_replan,0,fog_on,True,171,684,46,56072.02
osm_piraeus_flood_rescue_medium,periodic_replan,2,fog_on,True,447,1560,79,156287.97
osm_piraeus_flood_rescue_medium,aggressive_replan,1,fog_on,True,486,665,147,68058.74
osm_piraeus_flood_rescue_medium,aggressive_replan,5,fog_on,True,315,360,66,38891.23
osm_piraeus_flood_rescue_medium,aggressive_replan,2,fog_on,True,447,958,127,94980.11
osm_piraeus_flood_rescue_medium,periodic_replan,7,fog_on,True,590,1543,104,142731.28
osm_piraeus_flood_rescue_medium,aggressive_replan,8,fog_on,True,238,289,59,25039.05
osm_piraeus_flood_rescue_medium,dstar_lite,0,fog_on,True,171,179,2,12980.98
osm_piraeus_flood_rescue_medium,aggressive_replan,9,fog_on,True,245,282,56,23485.08
osm_piraeus_flood_rescue_medium,aggressive_replan,6,fog_on,True,596,761,125,70876.27
osm_piraeus_flood_rescue_medium,dstar_lite,3,fog_on,True,144,183,1,16064.71
osm_piraeus_flood_rescue_medium,dstar_lite,1,fog_on,True,486,664,5,58935.67
osm_piraeus_flood_rescue_medium,dstar_lite,5,fog_on,True,315,358,2,32946.61
osm_piraeus_flood_rescue_medium,aggressive_replan,7,fog_on,True,590,1426,166,138759.76
osm_piraeus_flood_rescue_medium,dstar_lite,4,fog_on,True,586,739,6,70780.86
osm_piraeus_flood_rescue_medium,dstar_lite,2,fog_on,True,447,985,24,91856.22
